Mode;Size;Selection Sort
From 0 to 5;50;8
From 0 to 5;60;11
From 0 to 5;70;25
From 0 to 5;80;12
From 0 to 5;90;13
From 0 to 5;100;14
From 0 to 5;110;47
From 0 to 5;120;22
From 0 to 5;130;26
From 0 to 5;140;29
From 0 to 5;150;34
From 0 to 5;160;37
From 0 to 5;170;37
From 0 to 5;180;40
From 0 to 5;190;45
From 0 to 5;200;49
From 0 to 5;210;54
From 0 to 5;220;74
From 0 to 5;230;72
From 0 to 5;240;79
From 0 to 5;250;86
From 0 to 5;260;100
From 0 to 5;270;91
From 0 to 5;280;97
From 0 to 5;290;127
From 1 to 4100;50;5
From 1 to 4100;60;6
From 1 to 4100;70;7
From 1 to 4100;80;9
From 1 to 4100;90;12
From 1 to 4100;100;13
From 1 to 4100;110;16
From 1 to 4100;120;18
From 1 to 4100;130;21
From 1 to 4100;140;24
From 1 to 4100;150;27
From 1 to 4100;160;30
From 1 to 4100;170;34
From 1 to 4100;180;39
From 1 to 4100;190;42
From 1 to 4100;200;46
From 1 to 4100;210;50
From 1 to 4100;220;55
From 1 to 4100;230;59
From 1 to 4100;240;64
From 1 to 4100;250;69
From 1 to 4100;260;74
From 1 to 4100;270;80
From 1 to 4100;280;86
From 1 to 4100;290;92
Almost Sorted;50;5
Almost Sorted;60;7
Almost Sorted;70;8
Almost Sorted;80;10
Almost Sorted;90;12
Almost Sorted;100;15
Almost Sorted;110;17
Almost Sorted;120;21
Almost Sorted;130;23
Almost Sorted;140;27
Almost Sorted;150;32
Almost Sorted;160;34
Almost Sorted;170;39
Almost Sorted;180;44
Almost Sorted;190;47
Almost Sorted;200;53
Almost Sorted;210;54
Almost Sorted;220;55
Almost Sorted;230;62
Almost Sorted;240;70
Almost Sorted;250;75
Almost Sorted;260;85
Almost Sorted;270;91
Almost Sorted;280;96
Almost Sorted;290;98
Reversed sorted;50;7
Reversed sorted;60;7
Reversed sorted;70;9
Reversed sorted;80;12
Reversed sorted;90;261
Reversed sorted;100;19
Reversed sorted;110;19
Reversed sorted;120;20
Reversed sorted;130;24
Reversed sorted;140;26
Reversed sorted;150;30
Reversed sorted;160;44
Reversed sorted;170;42
Reversed sorted;180;334
Reversed sorted;190;118
Reversed sorted;200;59
Reversed sorted;210;59
Reversed sorted;220;62
Reversed sorted;230;59
Reversed sorted;240;64
Reversed sorted;250;70
Reversed sorted;260;103
Reversed sorted;270;87
Reversed sorted;280;94
Reversed sorted;290;103
Mode;Size;Bubble Sort
From 0 to 5;50;11
From 0 to 5;60;13
From 0 to 5;70;14
From 0 to 5;80;22
From 0 to 5;90;24
From 0 to 5;100;31
From 0 to 5;110;36
From 0 to 5;120;40
From 0 to 5;130;47
From 0 to 5;140;51
From 0 to 5;150;58
From 0 to 5;160;63
From 0 to 5;170;73
From 0 to 5;180;101
From 0 to 5;190;95
From 0 to 5;200;102
From 0 to 5;210;124
From 0 to 5;220;138
From 0 to 5;230;139
From 0 to 5;240;180
From 0 to 5;250;208
From 0 to 5;260;189
From 0 to 5;270;190
From 0 to 5;280;221
From 0 to 5;290;204
From 1 to 4100;50;11
From 1 to 4100;60;14
From 1 to 4100;70;19
From 1 to 4100;80;26
From 1 to 4100;90;31
From 1 to 4100;100;42
From 1 to 4100;110;47
From 1 to 4100;120;57
From 1 to 4100;130;69
From 1 to 4100;140;72
From 1 to 4100;150;84
From 1 to 4100;160;97
From 1 to 4100;170;107
From 1 to 4100;180;118
From 1 to 4100;190;130
From 1 to 4100;200;141
From 1 to 4100;210;166
From 1 to 4100;220;171
From 1 to 4100;230;192
From 1 to 4100;240;209
From 1 to 4100;250;229
From 1 to 4100;260;246
From 1 to 4100;270;232
From 1 to 4100;280;246
From 1 to 4100;290;437
Almost Sorted;50;10
Almost Sorted;60;13
Almost Sorted;70;17
Almost Sorted;80;21
Almost Sorted;90;28
Almost Sorted;100;36
Almost Sorted;110;39
Almost Sorted;120;47
Almost Sorted;130;54
Almost Sorted;140;59
Almost Sorted;150;67
Almost Sorted;160;82
Almost Sorted;170;103
Almost Sorted;180;101
Almost Sorted;190;116
Almost Sorted;200;126
Almost Sorted;210;144
Almost Sorted;220;145
Almost Sorted;230;157
Almost Sorted;240;168
Almost Sorted;250;183
Almost Sorted;260;214
Almost Sorted;270;253
Almost Sorted;280;261
Almost Sorted;290;244
Reversed sorted;50;10
Reversed sorted;60;14
Reversed sorted;70;23
Reversed sorted;80;21
Reversed sorted;90;25
Reversed sorted;100;34
Reversed sorted;110;40
Reversed sorted;120;46
Reversed sorted;130;49
Reversed sorted;140;74
Reversed sorted;150;66
Reversed sorted;160;82
Reversed sorted;170;86
Reversed sorted;180;94
Reversed sorted;190;108
Reversed sorted;200;121
Reversed sorted;210;135
Reversed sorted;220;146
Reversed sorted;230;153
Reversed sorted;240;169
Reversed sorted;250;189
Reversed sorted;260;201
Reversed sorted;270;216
Reversed sorted;280;226
Reversed sorted;290;250
Mode;Size;Bubble Iverson 1
From 0 to 5;50;11
From 0 to 5;60;13
From 0 to 5;70;17
From 0 to 5;80;19
From 0 to 5;90;23
From 0 to 5;100;30
From 0 to 5;110;34
From 0 to 5;120;40
From 0 to 5;130;45
From 0 to 5;140;49
From 0 to 5;150;57
From 0 to 5;160;62
From 0 to 5;170;71
From 0 to 5;180;84
From 0 to 5;190;89
From 0 to 5;200;96
From 0 to 5;210;117
From 0 to 5;220;126
From 0 to 5;230;132
From 0 to 5;240;146
From 0 to 5;250;159
From 0 to 5;260;164
From 0 to 5;270;239
From 0 to 5;280;226
From 0 to 5;290;199
From 1 to 4100;50;9
From 1 to 4100;60;12
From 1 to 4100;70;16
From 1 to 4100;80;23
From 1 to 4100;90;26
From 1 to 4100;100;34
From 1 to 4100;110;39
From 1 to 4100;120;45
From 1 to 4100;130;57
From 1 to 4100;140;59
From 1 to 4100;150;72
From 1 to 4100;160;79
From 1 to 4100;170;88
From 1 to 4100;180;98
From 1 to 4100;190;106
From 1 to 4100;200;117
From 1 to 4100;210;135
From 1 to 4100;220;141
From 1 to 4100;230;159
From 1 to 4100;240;167
From 1 to 4100;250;187
From 1 to 4100;260;212
From 1 to 4100;270;215
From 1 to 4100;280;364
From 1 to 4100;290;290
Almost Sorted;50;11
Almost Sorted;60;13
Almost Sorted;70;17
Almost Sorted;80;21
Almost Sorted;90;24
Almost Sorted;100;30
Almost Sorted;110;39
Almost Sorted;120;46
Almost Sorted;130;53
Almost Sorted;140;59
Almost Sorted;150;67
Almost Sorted;160;82
Almost Sorted;170;88
Almost Sorted;180;99
Almost Sorted;190;113
Almost Sorted;200;122
Almost Sorted;210;134
Almost Sorted;220;138
Almost Sorted;230;155
Almost Sorted;240;167
Almost Sorted;250;181
Almost Sorted;260;196
Almost Sorted;270;214
Almost Sorted;280;234
Almost Sorted;290;241
Reversed sorted;50;10
